disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Hypothermia,weak pulse,drowsiness,loss of coordination,slurred speech,shivering (mild),confusion,,
Ringworm (Tinea Corporis),circular rash with clear centre,patches on scalp (tinea capitis),ring-shaped scaly patches,red borders of rash,,,,
Irritable Bowel Syndrome,symptoms triggered by stress,diarrhoea,incomplete emptying feeling,bloating,,,,
Fatty Liver Disease (NAFLD),right upper abdominal discomfort,elevated cholesterol,usually asymptomatic,enlarged liver,,,,
Anorexia Nervosa,dizziness,cold intolerance,fatigue,amenorrhoea,hair thinning,distorted body image,intense fear of weight gain,
Diverticulitis,change in bowel habits,vomiting,rectal bleeding (complicated),left lower abdominal pain,fever,bloating,tender left lower quadrant,
Hyperthyroidism,heat intolerance,nervousness,fatigue,bulging eyes (Graves'),rapid heartbeat,weight loss,,
Diverticulitis,nausea,bloating,fever,vomiting,left lower abdominal pain,change in bowel habits,rectal bleeding (complicated),tender left lower quadrant
Portal Hypertension,splenomegaly,bleeding from varices,oesophageal varices,anaemia,ascites (fluid in abdomen),encephalopathy,dilated abdominal veins,
Coronary Artery Disease,shortness of breath on exertion,nausea,dizziness,fatigue,chest pain (angina),chest tightness,palpitations,
Pulmonary Embolism,rapid heartbeat,chest pain worsening with breathing,leg swelling (DVT source),anxiety,fainting,dizziness,low oxygen saturation,sudden shortness of breath
Chronic Obstructive Pulmonary Disease,wheezing,increased mucus production,shortness of breath on exertion,chronic cough,chest tightness,frequent respiratory infections,weight loss,fatigue
Chronic Myeloid Leukemia,easy bruising,bone pain,night sweats,anaemia,often asymptomatic (chronic phase),early satiety,fatigue,
Typhoid Fever,weakness,sustained fever,relative bradycardia,rose spots on trunk,loss of appetite,splenomegaly,,
Chronic Myeloid Leukemia,easy bruising,early satiety,anaemia,weight loss,fatigue,fever,bone pain,splenomegaly
Chronic Kidney Disease,confusion (late stage),nausea,sleep problems,muscle cramps,decreased urine output,,,
Anaemia (Iron Deficiency),pica (craving non-food items),fatigue and weakness,pallor,headache,dizziness,shortness of breath on exertion,cold hands and feet,fast heartbeat
Cystic Fibrosis,persistent cough with thick mucus,salty-tasting skin,poor growth,clubbing of fingers,frequent lung infections,breathlessness,,
Whooping Cough (Pertussis),cyanosis during coughing fits,cough lasting >3 weeks,runny nose,paroxysmal cough with 'whooping' sound,apnoea in infants,mild fever,post-cough vomiting,
Pancreatitis,pain worsening after eating,abdominal tenderness,nausea,jaundice (if bile duct affected),rapid heart rate,vomiting,severe upper abdominal pain radiating to back,
Chronic Myeloid Leukemia,weight loss,night sweats,early satiety,easy bruising,,,,
Glaucoma,gradual peripheral vision loss,blurred vision,often asymptomatic (open-angle),nausea,,,,
Premenstrual Syndrome,bloating,sleep disturbances,food cravings,irritability,depression,,,
Typhoid Fever,constipation or diarrhoea,headache,weakness,loss of appetite,relative bradycardia,sustained fever,abdominal pain,
Irritable Bowel Syndrome,abdominal cramping,bloating,excess gas,mucus in stool,alternating diarrhoea and constipation,urgency,,
Diverticulitis,left lower abdominal pain,nausea,fever,tender left lower quadrant,rectal bleeding (complicated),change in bowel habits,bloating,
Hypertension,shortness of breath,ringing in ears,often asymptomatic,blurred vision,dizziness,chest pain,headache,nosebleed
Syphilis,swollen lymph nodes,painless genital sore (chancre),sore throat,fever,headache,hair loss,neurological symptoms (late),rash on palms and soles
Cerebral Palsy,abnormal gait,poor coordination,seizures,fine motor difficulties,spasticity (muscle stiffness),weakness,intellectual disability,speech problems
Ulcerative Colitis,weight loss,fatigue,joint pain (extra-intestinal),bloody diarrhoea,fever (in flares),abdominal cramping,,
Schizophrenia,social withdrawal,poor personal hygiene,hallucinations (hearing voices),negative symptoms (flat affect),,,,
Gastritis,vomiting,upper abdominal pain,bloating,feeling of fullness,burning sensation in stomach,indigestion,nausea,loss of appetite
Bronchitis,low-grade fever,fatigue,cough with mucus,shortness of breath,chest tightness,mild fever,sore throat,wheezing
Heart Failure,orthopnoea (breathlessness lying flat),paroxysmal nocturnal dyspnoea,fatigue,swollen ankles and legs,shortness of breath,reduced exercise tolerance,,
Fibromyalgia,anxiety,bowel problems,widespread musculoskeletal pain,sleep disturbance,,,,
Acne Vulgaris,scarring,whiteheads,redness around spots,cysts,pustules,nodules,,
Irritable Bowel Syndrome,bloating,excess gas,abdominal cramping,diarrhoea,,,,
Attention Deficit Hyperactivity Disorder,poor concentration,difficulty following instructions,talking excessively,impulsivity,,,,
Celiac Disease,skin rash (dermatitis herpetiformis),anaemia,depression,diarrhoea,,,,
Dehydration,confusion (severe),dark urine,low blood pressure (severe),headache,thirst,,,
Asthma,exercise-induced breathlessness,chronic cough,mucus production,cough at night,chest tightness,shortness of breath,difficulty breathing,
Type 2 Diabetes,frequent infections,frequent urination,blurred vision,slow-healing wounds,weight loss,numbness in feet,,
Vertigo (Benign Paroxysmal Positional),nausea,vomiting,sensation of spinning,sudden dizziness triggered by head position change,balance difficulty,abnormal eye movements (nystagmus),brief episodes <1 minute,
Hypothermia,slow shallow breathing,shivering (mild),weak pulse,drowsiness,slurred speech,rigid muscles,loss of consciousness (severe),
Atrial Fibrillation,palpitations,chest discomfort,dizziness,fainting,anxiety,shortness of breath,,
Bipolar Disorder,episodes of mania (elevated mood),grandiosity,racing thoughts,psychosis (severe mania),,,,
Lung Cancer,recurrent pneumonia,loss of appetite,chest pain,coughing up blood,hoarseness,,,
Addison's Disease,nausea,hyperpigmentation (bronze skin),dizziness,depression,,,,
Cystic Fibrosis,nasal polyps,digestive problems,frequent lung infections,clubbing of fingers,fatty stools,persistent cough with thick mucus,breathlessness,
Sleep Apnea,irritability,witnessed apnoea,gasping during sleep,excessive daytime sleepiness,difficulty concentrating,morning headache,,
Cervical Cancer,watery foul-smelling vaginal discharge,pelvic pain,pain during intercourse,abnormal vaginal bleeding,back or leg pain (advanced),bleeding after intercourse,,
Cushing Syndrome,high blood pressure,weight gain (central obesity),poor wound healing,moon face,,,,
Alzheimer's Disease,memory loss affecting daily function,mood and personality changes,poor judgment,language difficulty,,,,
Sinusitis,nasal congestion,post-nasal drip,facial pain or pressure,cough,headache,toothache,,
Varicose Veins,visible twisted and bulging veins,muscle cramping in legs,swelling of ankles,aching or heavy legs,itching around veins,skin discolouration,,
Vertigo (Benign Paroxysmal Positional),sudden dizziness triggered by head position change,brief episodes <1 minute,balance difficulty,sensation of spinning,abnormal eye movements (nystagmus),nausea,vomiting,
Acne Vulgaris,papules,scarring,cysts,nodules,whiteheads,oily skin,blackheads,
Chronic Fatigue Syndrome,post-exertional malaise,orthostatic intolerance,profound fatigue lasting >6 months,unrefreshing sleep,sensitivity to light and sound,,,
Atrial Fibrillation,irregular heartbeat,fatigue,reduced exercise tolerance,fainting,,,,
HIV Infection,opportunistic infections (advanced),flu-like illness (acute),swollen lymph nodes,fever,rash,diarrhoea,sore throat,night sweats
Psoriasis,nail pitting,red patches covered with scales,thick silvery scales on skin,dry cracked skin,swollen joints (psoriatic arthritis),,,
Chronic Fatigue Syndrome,flu-like symptoms,cognitive impairment,sensitivity to light and sound,profound fatigue lasting >6 months,post-exertional malaise,unrefreshing sleep,pain,orthostatic intolerance
Hyperthyroidism,weight loss,bulging eyes (Graves'),nervousness,tremor,increased appetite,sweating,diarrhoea,rapid heartbeat
Acne Vulgaris,blackheads,oily skin,cysts,papules,,,,
Kawasaki Disease,swollen hands and feet,red cracked lips,high fever lasting more than 5 days,strawberry tongue,,,,
Dengue Haemorrhagic Fever,rapid fall in platelet count,vomiting,severe headache,shock (in severe cases),,,,
Meningitis,high fever,non-blanching rash (meningococcal),altered mental state,seizures,severe headache,,,
Hepatitis B,dark urine,joint pain,right upper quadrant discomfort,nausea,vomiting,,,
Leukemia (Acute Lymphoblastic),pallor,petechiae/bleeding gums,fever,bone and joint pain,fatigue,frequent infections,splenomegaly,night sweats
Hepatitis A,abdominal pain,loss of appetite,pale stools,nausea,vomiting,,,
Gonorrhoea,rectal pain,often asymptomatic in women,testicular pain (men),sore throat (pharyngeal),vaginal discharge,pus-like urethral discharge,,
Irritable Bowel Syndrome,constipation,symptoms triggered by stress,alternating diarrhoea and constipation,abdominal cramping,incomplete emptying feeling,urgency,,
Systemic Lupus Erythematosus,fever,kidney problems (proteinuria),anaemia,fatigue,butterfly rash on face,joint pain and swelling,mouth ulcers,chest pain (serositis)
Raynaud's Disease,skin colour changes triggered by cold or stress,numbness and tingling in fingers,cold fingers and toes,pain on rewarming,,,,
Gingivitis,tender gums,bleeding gums on brushing,receding gums,red swollen gums,bad breath,soft/puffy gums,,
Cushing Syndrome,high blood sugar,high blood pressure,weakness,easy bruising,stretch marks (purple striae),buffalo hump,,
Lung Cancer,recurrent pneumonia,bone pain,shortness of breath,persistent cough,loss of appetite,chest pain,,
Tuberculosis,fever,coughing more than 3 weeks,blood in sputum,chronic productive cough,weight loss,night sweats,chest pain,fatigue
Gingivitis,bad breath,receding gums,bleeding gums on brushing,red swollen gums,,,,
Gastritis,nausea,burning sensation in stomach,belching,feeling of fullness,vomiting,indigestion,upper abdominal pain,
Peptic Ulcer,nausea,loss of appetite,weight loss,pain worsening after eating (gastric),belching,burning stomach pain,bloating,
Post-Traumatic Stress Disorder,flashbacks,concentration difficulty,hypervigilance,emotional numbness,,,,
Septic Shock,extremely low blood pressure,rapid heart rate,extreme fatigue,confusion,decreased urine output,high fever or hypothermia,,
Gout,warmth of joint,tenderness,joint pain at night,swelling of affected joint,redness of joint,limited range of motion,,
Multiple Sclerosis,bladder dysfunction,heat sensitivity,muscle weakness,spasticity,numbness or tingling,balance problems,vision loss (optic neuritis),fatigue
Stroke,speech difficulty,sudden facial drooping,vision problems,dizziness,,,,
Hyperthyroidism,heat intolerance,bulging eyes (Graves'),weight loss,tremor,sweating,,,
Vertigo (Benign Paroxysmal Positional),sudden dizziness triggered by head position change,balance difficulty,sensation of spinning,nausea,vomiting,brief episodes <1 minute,abnormal eye movements (nystagmus),
Anaemia,poor concentration,chest pain,brittle nails,dizziness,irregular heartbeat,,,
Sickle Cell Disease,swollen hands and feet (dactylitis),acute chest syndrome,anaemia,vision problems,delayed growth,,,
Major Depressive Disorder,slowed thinking,fatigue,changes in appetite,loss of interest,suicidal thoughts,persistent sadness,feelings of worthlessness,
Retinal Detachment,loss of central vision (macula detachment),sudden flashes of light,curtain shadow over vision,floaters,visual field loss,sudden blurred vision,,
Hemochromatosis,hypogonadism,impotence,joint pain,liver enlargement,heart problems,bronze skin discolouration,,
Autism Spectrum Disorder,avoidance of eye contact,delayed speech,communication challenges,sensory sensitivities,restricted interests,difficulty with social interaction,difficulty with change in routine,
Hypo-thyroidism,depression,weight gain,hair thinning,muscle weakness,slow heart rate,dry skin,puffiness of face,
COVID-19,diarrhoea,body aches,sore throat,fever,,,,
Bronchitis,sore throat,cough with mucus,shortness of breath,fatigue,chest tightness,wheezing,chills,mild fever
Attention Deficit Hyperactivity Disorder,poor concentration,fidgeting,disorganised,easily distracted,difficulty following instructions,inattention,,
Multiple Sclerosis,muscle weakness,vision loss (optic neuritis),spasticity,numbness or tingling,,,,
COVID-19,shortness of breath,fatigue,body aches,chills,chest tightness,,,
Gestational Diabetes,increased thirst,blurred vision,often asymptomatic,fatigue,frequent urination,,,
Pelvic Inflammatory Disease,cervical motion tenderness,nausea,vaginal discharge,pain during intercourse,pelvic or lower abdominal pain,fever,,
Atrial Fibrillation,reduced exercise tolerance,shortness of breath,palpitations,irregular heartbeat,fatigue,dizziness,anxiety,
Anaemia,cold hands and feet,irregular heartbeat,pallor (pale skin),dizziness,fatigue,poor concentration,headache,brittle nails
Cushing Syndrome,stretch marks (purple striae),thin skin,buffalo hump,weakness,,,,
Post-Traumatic Stress Disorder,avoidance of trauma reminders,concentration difficulty,emotional numbness,irritability,exaggerated startle response,flashbacks,nightmares,sleep disturbances
Heat Stroke,core body temperature >40°C,confusion or altered consciousness,hot dry skin (no sweating),rapid breathing,nausea,seizures,loss of consciousness,headache
Irritable Bowel Syndrome,mucus in stool,alternating diarrhoea and constipation,excess gas,abdominal cramping,bloating,incomplete emptying feeling,constipation,
Septic Shock,cold clammy skin,rapid heart rate,decreased urine output,confusion,organ dysfunction,high fever or hypothermia,extremely low blood pressure,
Ulcerative Colitis,urgency to defecate,bloody diarrhoea,joint pain (extra-intestinal),rectal bleeding,rectal pain,abdominal cramping,weight loss,fatigue
Anaphylaxis,sudden throat swelling,drop in blood pressure,skin rash/hives,vomiting,difficulty breathing,itching,,
Temporomandibular Joint Disorder,jaw clicking or popping,headache,aching facial pain,pain in and around ear,difficulty chewing,locking of jaw,jaw pain,neck and shoulder pain
Down Syndrome,hearing loss,low muscle tone (hypotonia),thyroid dysfunction,characteristic facial features,congenital heart defects,intellectual disability,increased risk of infections,
Prostate Cancer,weak urine stream,erectile dysfunction,frequent urination (especially at night),blood in urine or semen,,,,
Peptic Ulcer,pain worsening after eating (gastric),belching,dark/tarry stools,nausea,burning stomach pain,vomiting,pain relief after eating (duodenal),
Epiglottitis,sitting forward with neck extended (tripod position),rapidly worsening sore throat,muffled voice ('hot potato' voice),stridor,difficulty swallowing,anxiety/agitation,,
Eczema (Atopic Dermatitis),dry skin,intense itching,sleep disturbance due to itching,red rash,sensitive skin,thickened skin,,
Scabies,intense itching (worse at night),itching between fingers,"rash on wrists, elbows, armpits, genitals",sores from scratching,crust formation (Norwegian scabies),pimple-like rash,burrow tracks in skin,
Heat Stroke,headache,hot dry skin (no sweating),loss of consciousness,nausea,,,,
Fatty Liver Disease (NAFLD),right upper abdominal discomfort,abdominal fullness,usually asymptomatic,fatigue,,,,
Gingivitis,tender gums,bad breath,receding gums,bleeding gums on brushing,red swollen gums,soft/puffy gums,,
Parkinson's Disease,speech changes,depression,sleep disturbances,resting tremor,bradykinesia (slow movement),,,
Malignant Melanoma,evolving mole,asymmetric mole,changing mole (ABCDE criteria),multiple colours in mole,new pigmented skin lesion,bleeding mole,,
Alcohol Use Disorder,continued use despite consequences,morning drinking,blackouts,"withdrawal symptoms (tremor, sweating)",,,,
Sickle Cell Disease,"painful crises (bones, chest, joints)",acute chest syndrome,jaundice,frequent infections,vision problems,delayed growth,,
Alcohol Use Disorder,tolerance (needing more),morning drinking,"withdrawal symptoms (tremor, sweating)",inability to limit drinking,giving up activities,strong craving for alcohol,,
Epilepsy,loss of consciousness,post-ictal confusion,temporary confusion,recurring seizures,staring spell,,,
Athlete's Foot (Tinea Pedis),discolouration of skin,scaly rash between toes,blisters on foot,cracking and peeling skin,dry flaky skin on sole,itching and burning between toes,,
Appendicitis,fever,rebound tenderness at McBurney's point,vomiting,constipation or diarrhoea,loss of appetite,rigidity of abdomen,nausea,pain starting around navel migrating to right lower abdomen
Hepatitis A,vomiting,dark urine,abdominal pain,itching,,,,
Meningitis,sensitivity to light,vomiting,high fever,seizures,sensitivity to sound,,,
Anorexia Nervosa,extreme thinness,distorted body image,hair thinning,amenorrhoea,,,,
Anorexia Nervosa,distorted body image,cold intolerance,hair thinning,extreme thinness,,,,
Cerebral Palsy,seizures,spasticity (muscle stiffness),fine motor difficulties,poor coordination,,,,
Tetanus,rapid heartbeat,muscle spasms,jaw stiffness (trismus/lockjaw),sweating,,,,
Cystic Fibrosis,nasal polyps,poor growth,breathlessness,digestive problems,persistent cough with thick mucus,salty-tasting skin,frequent lung infections,
Whooping Cough (Pertussis),mild fever,paroxysmal cough with 'whooping' sound,cough lasting >3 weeks,cyanosis during coughing fits,post-cough vomiting,apnoea in infants,runny nose,
Myocardial Infarction,dizziness,loss of consciousness,chest pain radiating to left arm,palpitations,shortness of breath,sweating,jaw pain,anxiety
Pelvic Inflammatory Disease,pain during intercourse,pelvic or lower abdominal pain,cervical motion tenderness,vaginal discharge,,,,
Dengue Haemorrhagic Fever,vomiting,high fever,petechiae,severe headache,shock (in severe cases),abdominal pain,,
Coronary Artery Disease,dizziness,palpitations,fatigue,chest pain (angina),nausea,pain radiating to arm/jaw,sweating,
Muscular Dystrophy (Duchenne),frequent falls,Gowers' sign,respiratory failure (late),waddling gait,cardiomyopathy,difficulty walking,learning difficulties,progressive muscle weakness (proximal first)
Dengue Fever,chills,joint pain,severe headache,nausea,,,,
Migraine,nausea,blurred vision,visual aura,neck pain,dizziness,vomiting,sensitivity to light,sensitivity to sound
Hypo-thyroidism,weight gain,puffiness of face,slow heart rate,depression,cold intolerance,muscle weakness,memory impairment,hair thinning
Ulcerative Colitis,rectal pain,rectal bleeding,abdominal cramping,weight loss,bloody diarrhoea,,,
Psoriasis,thick silvery scales on skin,nail pitting,itching,red patches covered with scales,burning sensation,swollen joints (psoriatic arthritis),,
Thalassemia (Beta),jaundice,delayed puberty,growth retardation,severe anaemia,fatigue,bone deformities,pallor,
Gingivitis,bad breath,bleeding gums on brushing,receding gums,soft/puffy gums,,,,
Anaemia,chest pain,cold hands and feet,fatigue,brittle nails,,,,
Myocardial Infarction,sweating,chest pain radiating to left arm,palpitations,crushing chest pain,shortness of breath,,,
Rotator Cuff Injury,reduced range of motion,pain at night (lying on affected side),difficulty reaching behind back,shoulder pain worsening with arm raising,clicking or popping in shoulder,weakness in shoulder,,
Appendicitis,constipation or diarrhoea,loss of appetite,fever,vomiting,rigidity of abdomen,nausea,,
Celiac Disease,anaemia,fatigue,weight loss,depression,bone pain,,,
Pulmonary Fibrosis (Idiopathic),dry cough,reduced exercise tolerance,fatigue,clubbing of fingers,progressive breathlessness,,,
Glaucoma,often asymptomatic (open-angle),tunnel vision (late),gradual peripheral vision loss,blurred vision,,,,
Acute Respiratory Distress Syndrome,confusion,low oxygen levels,cyanosis,extreme fatigue,rapid breathing,bilateral lung infiltrates on X-ray,,
Celiac Disease,anaemia,diarrhoea,depression,skin rash (dermatitis herpetiformis),bone pain,mouth ulcers,,
Chickenpox,malaise,rash starts on trunk spreads to face and limbs,headache,fatigue,loss of appetite,itchy blister rash,fever,spots that become blisters then crust
Ringworm (Tinea Corporis),circular rash with clear centre,red borders of rash,patches on scalp (tinea capitis),hair loss in patches (scalp),expanding ring over time,,,
Hypo-thyroidism,depression,constipation,muscle weakness,slow heart rate,hair thinning,dry skin,weight gain,
Rotator Cuff Injury,difficulty reaching behind back,clicking or popping in shoulder,pain at night (lying on affected side),weakness in shoulder,,,,
Type 2 Diabetes,fatigue,frequent urination,slow-healing wounds,frequent infections,blurred vision,increased hunger,increased thirst,
Schizophrenia,cognitive impairment,disorganized speech,social withdrawal,hallucinations (hearing voices),negative symptoms (flat affect),poor personal hygiene,delusions,disorganized thinking
Glaucoma,blurred vision,eye pain,tunnel vision (late),headache,gradual peripheral vision loss,,,
Cataract,double vision in one eye,cloudy or blurred vision,fading colours,frequent changes in glasses prescription,,,,
Generalized Anxiety Disorder,difficulty controlling worry,restlessness,irritability,concentration difficulty,sleep disturbance,fatigue,excessive worry,
Acne Vulgaris,cysts,blackheads,nodules,redness around spots,,,,
Hypertension,ringing in ears,often asymptomatic,shortness of breath,dizziness,,,,
Deep Vein Thrombosis,redness or discolouration,leg cramps,visible surface veins,swelling of one leg,warm skin over affected area,pitting oedema,pain or tenderness in leg,
Osteoarthritis,joint swelling,reduced range of motion,joint stiffness (especially morning),bony growths at joint,crackling or grating sound,fatigue,,
Leukemia (Acute Lymphoblastic),night sweats,frequent infections,pallor,easy bruising,bone and joint pain,swollen lymph nodes,,
Stroke,difficulty walking,vision problems,numbness one side of body,sudden severe headache,sudden facial drooping,,,
Generalized Anxiety Disorder,"physical symptoms (headache, GI complaints)",sleep disturbance,restlessness,excessive worry,fatigue,difficulty controlling worry,concentration difficulty,
HIV Infection,flu-like illness (acute),fever,night sweats,weight loss,,,,
Plantar Fasciitis,pain after prolonged standing,pain decreasing after walking but returning after rest,heel pain (especially first steps in morning),tenderness at heel bone base,,,,
Meningitis,high fever,vomiting,severe headache,stiff neck,altered mental state,seizures,sensitivity to sound,nausea
Bulimia Nervosa,use of laxatives or diuretics,electrolyte imbalances,swollen cheeks,teeth enamel erosion,calluses on knuckles,,,
Scabies,intense itching (worse at night),pimple-like rash,burrow tracks in skin,"rash on wrists, elbows, armpits, genitals",,,,
Athlete's Foot (Tinea Pedis),discolouration of skin,scaly rash between toes,cracking and peeling skin,itching and burning between toes,blisters on foot,dry flaky skin on sole,,
Asthma,shortness of breath,difficulty breathing,wheezing,cough at night,chest tightness,mucus production,chronic cough,
Typhoid Fever,splenomegaly,rose spots on trunk,headache,abdominal pain,weakness,cough,,
Tuberculosis,fever,weight loss,chronic productive cough,loss of appetite,coughing more than 3 weeks,fatigue,blood in sputum,
Endometriosis,painful periods (dysmenorrhoea),fatigue,heavy periods,infertility,pain with bowel movements/urination,,,
Whooping Cough (Pertussis),runny nose,cyanosis during coughing fits,paroxysmal cough with 'whooping' sound,apnoea in infants,post-cough vomiting,,,
Peripheral Artery Disease,slow toenail growth,leg numbness or weakness,weak pulse in legs,pain relieved by rest,,,,
Epiglottitis,difficulty swallowing,drooling,stridor,muffled voice ('hot potato' voice),rapidly worsening sore throat,sitting forward with neck extended (tripod position),high fever,anxiety/agitation
Oral Candidiasis (Thrush),soreness inside mouth,cotton-like sensation in mouth,loss of taste,white patches in mouth,,,,
Diverticulitis,rectal bleeding (complicated),nausea,change in bowel habits,vomiting,bloating,tender left lower quadrant,left lower abdominal pain,fever
Dehydration,thirst,dizziness,headache,fatigue,dry skin,dry mouth,confusion (severe),rapid heartbeat
Post-Traumatic Stress Disorder,irritability,sleep disturbances,exaggerated startle response,concentration difficulty,nightmares,hypervigilance,,
Psoriasis,dry cracked skin,thick silvery scales on skin,itching,nail pitting,burning sensation,swollen joints (psoriatic arthritis),,
Cataract,sensitivity to light and glare,frequent changes in glasses prescription,halos around lights,fading colours,poor night vision,double vision in one eye,cloudy or blurred vision,
Cervical Cancer,pelvic pain,watery foul-smelling vaginal discharge,post-menopausal bleeding,back or leg pain (advanced),,,,
Rotator Cuff Injury,reduced range of motion,clicking or popping in shoulder,difficulty reaching behind back,weakness in shoulder,pain at night (lying on affected side),,,
Heat Stroke,rapid breathing,confusion or altered consciousness,headache,loss of consciousness,hot dry skin (no sweating),seizures,,
Whooping Cough (Pertussis),cyanosis during coughing fits,paroxysmal cough with 'whooping' sound,apnoea in infants,cough lasting >3 weeks,,,,
Leukemia (Acute Lymphoblastic),easy bruising,fatigue,bone and joint pain,night sweats,swollen lymph nodes,fever,,
Migraine,blurred vision,dizziness,sensitivity to sound,throbbing headache (one side),,,,
Vertigo (Benign Paroxysmal Positional),sensation of spinning,brief episodes <1 minute,balance difficulty,nausea,vomiting,sudden dizziness triggered by head position change,abnormal eye movements (nystagmus),
Appendicitis,vomiting,loss of appetite,fever,rebound tenderness at McBurney's point,,,,
Scoliosis,uneven shoulders,one hip higher than other,fatigue,difficulty breathing (severe curves),back pain,uneven waist,abnormal curvature of spine sideways,
Plantar Fasciitis,pain decreasing after walking but returning after rest,pain after prolonged standing,heel pain (especially first steps in morning),tenderness at heel bone base,,,,
Cholecystitis,pain radiating to right shoulder,nausea,jaundice (if bile duct blocked),vomiting,Murphy's sign positive,,,
Measles,runny nose,high fever,Koplik's spots in mouth,cough,,,,
Hyperthyroidism,sweating,heat intolerance,weight loss,tremor,diarrhoea,nervousness,fatigue,
Neonatal Jaundice,yellow soles of feet,excessive sleepiness,yellow skin (jaundice) first appearing on face,dark urine,poor feeding,pale stools,yellowing of whites of eyes,
Pelvic Inflammatory Disease,cervical motion tenderness,fever,irregular menstrual bleeding,pelvic or lower abdominal pain,pain during intercourse,,,
Peripheral Artery Disease,pain relieved by rest,sores on toes/feet that won't heal,weak pulse in legs,shiny skin on leg,slow toenail growth,leg pain when walking (claudication),leg numbness or weakness,coldness in lower leg/foot
Scabies,itching between fingers,intense itching (worse at night),burrow tracks in skin,"rash on wrists, elbows, armpits, genitals",,,,
Glaucoma,nausea,blurred vision,halos around lights,often asymptomatic (open-angle),tunnel vision (late),headache,gradual peripheral vision loss,
Ulcerative Colitis,weight loss,abdominal cramping,rectal bleeding,fever (in flares),urgency to defecate,,,
Attention Deficit Hyperactivity Disorder,inattention,disorganised,poor concentration,fidgeting,easily distracted,,,
Asthma,wheezing,cough at night,shortness of breath,mucus production,exercise-induced breathlessness,chest tightness,chronic cough,difficulty breathing
Acute Respiratory Distress Syndrome,low oxygen levels,rapid breathing,hypoxaemia despite oxygen,severe breathlessness,confusion,cyanosis,extreme fatigue,bilateral lung infiltrates on X-ray
Tuberculosis,fatigue,loss of appetite,blood in sputum,chest pain,weight loss,night sweats,,
Preeclampsia,headache,oedema,upper right abdominal pain,proteinuria,nausea,,,
Ringworm (Tinea Corporis),hair loss in patches (scalp),ring-shaped scaly patches,circular rash with clear centre,expanding ring over time,patches on scalp (tinea capitis),red borders of rash,itching,
Colon Cancer,cramping,feeling that bowel doesn't empty completely,change in bowel habits,weakness and fatigue,abdominal pain,unexplained weight loss,iron deficiency anaemia,blood in stool
Varicose Veins,swelling of ankles,burning or throbbing in legs,skin discolouration,muscle cramping in legs,itching around veins,,,
Malaria,sweating,jaundice,splenomegaly,fatigue,,,,
HIV Infection,diarrhoea,night sweats,rash,sore throat,swollen lymph nodes,fever,,
Acute Respiratory Distress Syndrome,bilateral lung infiltrates on X-ray,confusion,cyanosis,extreme fatigue,,,,
Attention Deficit Hyperactivity Disorder,poor concentration,disorganised,easily distracted,forgetful,fidgeting,difficulty following instructions,,
Peripheral Artery Disease,leg numbness or weakness,coldness in lower leg/foot,weak pulse in legs,shiny skin on leg,slow toenail growth,,,
Pulmonary Fibrosis (Idiopathic),clubbing of fingers,reduced exercise tolerance,progressive breathlessness,dry cough,weight loss,,,
Systemic Lupus Erythematosus,chest pain (serositis),fatigue,kidney problems (proteinuria),joint pain and swelling,hair loss,butterfly rash on face,,
Common Cold,loss of smell,nasal congestion,headache,sore throat,mild fever,mild cough,malaise,
Endometriosis,fatigue,pain with bowel movements/urination,pelvic pain,painful periods (dysmenorrhoea),heavy periods,pain during intercourse,,
Chronic Kidney Disease,poor appetite,confusion (late stage),fatigue,sleep problems,nausea,itching,swollen ankles and feet,shortness of breath
Epilepsy,temporary confusion,deja vu sensation,recurring seizures,fear or anxiety aura,loss of consciousness,automatic movements (lip smacking),,
Leukemia (Acute Lymphoblastic),fatigue,splenomegaly,easy bruising,petechiae/bleeding gums,,,,
Deep Vein Thrombosis,leg cramps,pitting oedema,pain or tenderness in leg,warm skin over affected area,,,,
Crohn's Disease,blood in stool,perianal fistula,fever,nausea,reduced appetite,fatigue,abdominal pain (right lower),weight loss
Amyotrophic Lateral Sclerosis,unintentional weight loss,muscle twitching,slurred speech,difficulty swallowing,difficulty breathing,muscle weakness starting in limbs or speech,muscle cramps,progressive paralysis
Anorexia Nervosa,distorted body image,severely restricted food intake,cold intolerance,extreme thinness,,,,
Eczema (Atopic Dermatitis),weeping and crusting,sensitive skin,rash on inner elbows and knees,dry skin,red rash,thickened skin,sleep disturbance due to itching,
Athlete's Foot (Tinea Pedis),dry flaky skin on sole,scaly rash between toes,cracking and peeling skin,blisters on foot,itching and burning between toes,,,
Fatty Liver Disease (NAFLD),elevated cholesterol,abdominal fullness,elevated liver enzymes,usually asymptomatic,,,,
Influenza,dry cough,sudden high fever,loss of appetite,sneezing,runny nose,severe headache,,
Pancreatitis,abdominal distension,severe upper abdominal pain radiating to back,nausea,rapid heart rate,vomiting,jaundice (if bile duct affected),abdominal tenderness,pain worsening after eating
Hepatitis B,abdominal pain,fatigue,joint pain,loss of appetite,vomiting,nausea,,
Macular Degeneration (AMD),difficulty reading,faded colours,one eye affected initially,blurred central vision,visual distortion (straight lines appear wavy),needing more light,dark or empty area in centre of vision,
Epiglottitis,stridor,high fever,sitting forward with neck extended (tripod position),anxiety/agitation,difficulty swallowing,muffled voice ('hot potato' voice),drooling,
