disease,medicine,dosage,precautions,severity
Cataract,Prednisolone Acetate 1% Eye Drops (Post-operative),1 drop 4 times daily tapering over 4 weeks post-surgery,Anti-inflammatory post-operative care; prolonged use raises IOP; monitor for secondary infection,Mild
Generalized Anxiety Disorder,Diazepam (Short-term only),2–5 mg two to three times daily; max 4 weeks,Short-term use only (dependence risk); avoid in elderly; impairs driving; avoid with alcohol; taper on discontinuation,Mild
Chickenpox,Antihistamine (Chlorpheniramine),4 mg every 4–6 hours for itching (adults),May cause drowsiness; avoid alcohol; helpful for nighttime itching,Mild
Preeclampsia,Magnesium Sulfate (Seizure Prophylaxis),4 g IV loading over 15–20 min then 1 g/hr maintenance,"Monitor reflexes, urine output, respiratory rate; antidote: calcium gluconate 1 g IV; do not use in myasthenia gravis; ICU/HDU monitoring",Severe
Pulmonary Fibrosis (Idiopathic),Nintedanib,150 mg orally twice daily with food (12 hours apart),Antifibrotic — slows progression; GI side effects (diarrhoea — manage with loperamide); liver function monitoring; teratogenic — contraception required,Severe
Urinary Tract Infection,Ciprofloxacin,500 mg twice daily for 3–7 days,Reserve for complicated UTI; risk of tendinopathy; not first-line in uncomplicated UTI,Moderate
Tuberculosis,Isoniazid + Rifampicin + Pyrazinamide + Ethambutol (HRZE),"HRZE daily for 2 months (intensive phase), then HR daily for 4 months",Monitor liver function; take on empty stomach (rifampicin); add pyridoxine to prevent neuropathy; complete full 6-month course,Severe
Haemorrhoids,Senna (Stool Softener/Laxative),7.5–15 mg at bedtime,Prevents constipation and straining; high-fibre diet alongside; short-term use for constipation; not for colitis or intestinal obstruction,Mild
Leukemia (Acute Lymphoblastic),Vincristine + Dexamethasone + Asparaginase (Induction),Vincristine 1.5 mg/m² weekly + Dexamethasone 6 mg/m²/day + PEG-Asparaginase 1000 IU/m² (specialist protocol),Specialist haematology/oncology centre essential; peripheral neuropathy (vincristine); hyperglycaemia (dexamethasone); anaphylaxis risk (asparaginase); infection prophylaxis required,Critical
Breast Cancer,Letrozole (Aromatase Inhibitor),2.5 mg once daily (post-menopausal HR-positive),Bone density monitoring; supplement calcium and vitamin D; joint pain common; avoid in pre-menopausal women without ovarian suppression,Severe
Tetanus,Metronidazole IV,500 mg IV every 6 hours for 7–10 days (kills Clostridium tetani),Kills bacteria but does not neutralise toxin; alongside TIG; sedation and muscle relaxants for spasm control; hospitalisation mandatory,Critical
Syphilis,Benzathine Penicillin G,2.4 million units IM as single dose (primary/secondary/early latent),"Check penicillin allergy; use doxycycline 100 mg BD for 14 days if allergic; notify partners; retest at 3, 6, 12 months",Moderate
Major Depressive Disorder,Sertraline (SSRI),50 mg once daily; may increase to 200 mg/day after 4 weeks,Allow 4–6 weeks for full effect; do not stop abruptly; serotonin syndrome risk with MAOIs; increased suicidal ideation in young adults initially,Moderate
Thalassemia (Beta),Regular Blood Transfusion,Packed RBCs 10–15 mL/kg every 3–4 weeks (maintain Hb >9 g/dL pre-transfusion),Iron overload with repeated transfusions; transfusion reactions; hepatitis B vaccination; phenotypic matching of blood; specialist haematology,Severe
Ulcerative Colitis,Mesalazine (5-ASA),2.4–4.8 g/day (acute); 1.6–2.4 g/day (maintenance),First-line for mild-moderate; can combine oral and rectal for left-sided disease; monitor renal function annually,Moderate
Fibromyalgia,Amitriptyline (Low Dose),10–75 mg at night for sleep and pain,"At low doses well tolerated; anticholinergic effects (dry mouth, constipation); avoid in cardiac arrhythmia; take 12 h before waking",Mild
Allergic Rhinitis,Fluticasone Nasal Spray,2 sprays per nostril once daily; may reduce to 1 spray when controlled,Regular daily use required; tilt head forward; most effective nasal steroid; monitor growth in children,Mild
Anaemia,Cyanocobalamin (Vitamin B12),"1000 mcg IM daily for 1 week, then weekly for 1 month, then monthly",IM route for pernicious anaemia (poor absorption); lifelong treatment usually needed; monitor blood counts,Moderate
Celiac Disease,Ferrous Sulfate,200 mg (65 mg elemental iron) two to three times daily,For iron deficiency anaemia secondary to malabsorption; take with vitamin C; dark stools are expected,Mild
Hypertension,Amlodipine,5–10 mg once daily,Monitor blood pressure; may cause ankle swelling; avoid sudden withdrawal,Moderate
Gout,Indomethacin,50 mg three times daily for 5–7 days (acute attack),"Take with food; avoid in peptic ulcer, renal failure; add PPI; most effective NSAID for gout but high GI risk",Moderate
Stroke,Aspirin,300 mg orally as single dose (ischaemic stroke); then 75–100 mg once daily long term,Do not give if haemorrhagic stroke; give after CT confirms ischaemic; start after 24 h if thrombolysis given,Severe
Hearing Loss,Prednisolone (Sudden SNHL),1 mg/kg/day (max 60 mg) for 10–14 days (sudden sensorineural hearing loss),Start within 48–72 h of onset for best results; audiologist review urgent; monitor glucose and BP; taper on discontinuation,Severe
Premenstrual Syndrome,Mefenamic Acid,500 mg three times daily during symptomatic days,NSAID for physical symptoms; take with food; avoid in renal impairment; short-term use,Mild
Eczema (Atopic Dermatitis),Dupilumab (Dupixent),"600 mg subcutaneously (2 × 300 mg) loading, then 300 mg every 2 weeks",Specialist-initiated; conjunctivitis common; injection site reactions; no live vaccines during treatment,Severe
Malaria,Chloroquine Phosphate,"600 mg base initially, then 300 mg at 6 h, 24 h, 48 h",Monitor for retinal toxicity with long use; avoid in G6PD deficiency for some regimens,Moderate
Parkinson's Disease,Pramipexole (Dopamine Agonist),0.375–4.5 mg/day in 3 divided doses,"Risk of impulse control disorders (gambling, hypersexuality); orthostatic hypotension; start low titrate slowly",Moderate
Prostate Cancer,Leuprolide (Lupron — LHRH Agonist),7.5 mg IM monthly or 22.5 mg every 3 months,Androgen deprivation therapy; initial testosterone flare (add antiandrogen for first 4 weeks); osteoporosis risk; hot flushes; metabolic effects,Severe
Addison's Disease,Hydrocortisone (Glucocorticoid),15–25 mg/day in 2–3 divided doses (morning-weighted),Lifelong replacement; sick day rules (double dose during illness/fever); medical alert bracelet; educate on adrenal crisis emergency injection,Severe
Colon Cancer,FOLFOX Regimen (Oxaliplatin + Leucovorin + Fluorouracil),Oxaliplatin 85 mg/m² + Leucovorin 400 mg/m² + 5-FU 400 mg/m² IV bolus then 2400 mg/m² over 46 h; every 2 weeks,Specialist oncology centre; peripheral neuropathy (oxaliplatin — cold sensitivity); mucositis (5-FU); myelosuppression; neutropenic fever protocol,Critical
Epiglottitis,Ceftriaxone IV,2 g IV once daily for 7–10 days,AIRWAY EMERGENCY — do not examine throat or cause distress; immediate anaesthesia/ENT consultation for airway management; ICU care; do not do throat exam,Critical
Generalized Anxiety Disorder,Escitalopram,10–20 mg once daily,First-line SSRI; allow 4–6 weeks for effect; do not stop abruptly; may initially worsen anxiety (start low); combine with CBT,Mild
Hypertension,Losartan (ARB),50–100 mg once daily,Avoid in pregnancy; monitor potassium and creatinine; avoid with ACE inhibitors,Moderate
Neonatal Jaundice,Phototherapy (Blue Light),Continuous phototherapy (bili-blanket or overhead unit) as per nomogram thresholds,Monitor temperature (risk of hyperthermia); eye protection essential; adequate feeding/hydration; check bilirubin every 4–6 hours; exchange transfusion for severe cases,Moderate
Conjunctivitis,Acyclovir Eye Ointment 3%,Apply 1 cm ribbon of ointment 5 times daily for 7–10 days (viral/herpetic),For herpetic conjunctivitis only; ophthalmology referral essential; do not use with contact lenses,Moderate
Plantar Fasciitis,Corticosteroid Injection (Plantar Fascia),Triamcinolone 10–40 mg injected at tender point of plantar fascia; up to 3 per year,Risk of plantar fascia rupture; heel pad atrophy; temporary relief; physiotherapy and orthotics primary management,Mild
Down Syndrome,Levothyroxine,As per age-adjusted dosing for hypothyroidism; annual TSH monitoring,High prevalence of hypothyroidism in DS; annual thyroid screening; dose titrated to TSH levels; growth monitoring,Mild
Malignant Melanoma,Vemurafenib (BRAF Inhibitor),960 mg orally twice daily (BRAF V600E mutation),Require BRAF mutation testing; cutaneous squamous cell carcinoma risk; photosensitivity; QT prolongation; regular skin checks,Critical
Autism Spectrum Disorder,Melatonin,0.5–10 mg at bedtime (sleep disturbance),Widely used for sleep in ASD; short-term safety established; discuss with paediatrician; optimise sleep hygiene alongside,Mild
Asthma,Montelukast,10 mg once daily at bedtime (adults),May cause mood changes/suicidal ideation; not for acute attacks; take regularly,Moderate
Retinal Detachment,Vitreoretinal Surgery (Scleral Buckle/Vitrectomy),Surgical reattachment; timing within 24 h if macula threatened,Ophthalmologic emergency; avoid strenuous activity post-op; gas bubble may be used — no air travel for 6–8 weeks; face-down positioning may be required,Critical
Osteoarthritis,Diclofenac Topical Gel 1%,Apply 2–4 g to affected joint 3–4 times daily,Fewer systemic side effects; avoid on broken skin; wash hands after application,Mild
Cerebral Palsy,Baclofen (Oral/Intrathecal),Oral: 5 mg three times daily titrating to 80 mg/day; Intrathecal: specialist-titrated pump,"Muscle relaxant for spasticity; drowsiness and weakness; do not stop abruptly (seizures, withdrawal); specialist orthopaedic and neuro team",Moderate
Sinusitis,Saline Nasal Rinse,240 mL isotonic saline through each nostril twice daily,Use sterile/distilled water; safe in pregnancy; helps clear mucus; use before nasal steroid spray,Mild
Kawasaki Disease,Intravenous Immunoglobulin (IVIG),2 g/kg IV over 10–12 hours as single dose,Must be given within 10 days of fever onset to prevent coronary aneurysms; echocardiogram monitoring; given with aspirin; specialist paediatric care,Severe
Gingivitis,Metronidazole Gel 25% (Dental),Applied to periodontal pockets by dentist during scaling procedure,For adjunctive use with dental cleaning; professional dental care required; oral hygiene instruction mandatory,Mild
Eczema (Atopic Dermatitis),Hydrocortisone Cream 1%,Apply thinly to affected area 1–2 times daily for up to 7 days,Mild topical steroid; safe for face in short courses; avoid prolonged use; use emollient generously alongside,Mild
Gestational Diabetes,Insulin (Short-acting Aspart),Adjusted per blood glucose readings (typically 4–10 units with meals),If metformin insufficient; self-monitoring of blood glucose essential; hypoglycaemia risk; rotate injection sites; neonatal monitoring after delivery,Moderate
Hyperlipidaemia,Fenofibrate (Triglycerides),145 mg once daily (modified-release),For hypertriglyceridaemia or mixed dyslipidaemia; monitor renal function; risk of myopathy especially with statin combination; avoid in severe renal/hepatic disease,Mild
Kidney Stones,Tamsulosin (Alpha-blocker),0.4 mg once daily at bedtime (facilitates stone passage),May cause orthostatic hypotension; avoid driving initially; effective for stones <10 mm,Moderate
Portal Hypertension,Propranolol (Non-selective Beta-blocker),20–80 mg twice daily; titrate to reduce resting heart rate by 25% or to 55 bpm,"Primary prophylaxis of variceal bleeding; contraindicated in asthma, decompensated heart failure; do not stop abruptly; endoscopic banding combined in high-risk patients",Severe
Chronic Myeloid Leukemia,Imatinib (Gleevec — TKI),400 mg once daily with a large glass of water and meal,"BCR-ABL mutation testing for resistance monitoring; monitor CBC, LFTs monthly; oedema and fluid retention; excellent long-term outcomes in chronic phase",Severe
Hepatitis B,Entecavir,0.5 mg once daily on empty stomach (treatment-naive),1 mg/day for lamivudine-resistant patients; monitor LFTs; long-term therapy required,Severe
Bronchitis,Amoxicillin-Clavulanate,875/125 mg twice daily for 5–7 days (bacterial),Only if bacterial cause confirmed; check allergy; complete full course; most bronchitis is viral and does not need antibiotics,Mild
Post-Traumatic Stress Disorder,Prazosin,1–15 mg at bedtime (for nightmares),Alpha-blocker; risk of orthostatic hypotension — first dose at bedtime; titrate slowly; monitor BP,Mild
Cerebral Palsy,Botulinum Toxin A (Botox) Injection,Specialist-calculated dose injected into spastic muscle groups every 3–6 months,Temporary effect (3–6 months); specialist physiotherapy alongside; pain at injection; very rare respiratory compromise if spread,Moderate
Amyotrophic Lateral Sclerosis,Riluzole,50 mg twice daily on empty stomach,Only FDA-approved disease-modifying drug (modest benefit); monitor LFTs every 3 months; nausea common; avoid alcohol; specialist neurology initiation,Severe
Insomnia,Melatonin,2 mg prolonged-release 1–2 hours before bedtime for up to 13 weeks,For circadian rhythm insomnia; relatively safe; may cause drowsiness; CBT-I more effective long-term,Mild
Peripheral Artery Disease,Clopidogrel,75 mg once daily (antiplatelet therapy),Reduces cardiovascular events; avoid with PPIs (especially omeprazole — reduced efficacy); check for active bleeding; may be combined with aspirin in some cases,Moderate
Heat Stroke,Rapid External Cooling (Cold Water Immersion),"Immerse in cold water (1–15°C) or apply ice packs to neck, axillae, groin; target temperature <38.5°C within 30 min",Medical emergency; call ambulance immediately; remove from heat; monitor core temperature; IV fluids for hypotension; avoid antipyretics (not effective for heat stroke),Critical
Pneumonia,Ceftriaxone IV,1–2 g IV/IM once daily for 5–10 days (severe),Hospitalisation required; check for cephalosporin allergy; monitor renal function,Severe
Cholera,Doxycycline,300 mg orally as single dose (adults),Reduces duration and severity; not for children under 8 or pregnant women; single dose effective; provide ORS alongside,Moderate
Peptic Ulcer,Omeprazole (PPI),20–40 mg once daily before breakfast for 4–8 weeks,Avoid long-term use without indication; monitor magnesium levels; may reduce clopidogrel efficacy,Moderate
Malignant Melanoma,Pembrolizumab (Keytruda),200 mg IV every 3 weeks or 400 mg every 6 weeks (advanced melanoma),"Immune-related adverse events (pneumonitis, colitis, hepatitis); monitor LFTs and TFTs; specialist oncology team; corticosteroids for immune toxicity",Critical
Coronary Artery Disease,Bisoprolol,2.5–10 mg once daily,Do not stop abruptly; contraindicated in acute decompensated heart failure and asthma; monitor heart rate and BP,Moderate
COVID-19,Paracetamol,500–1000 mg every 4–6 hours; max 4 g/day,For symptom relief; stay hydrated; isolate to prevent transmission,Mild
Athlete's Foot (Tinea Pedis),Terbinafine Cream 1%,Apply once or twice daily for 1–2 weeks,Dry feet thoroughly especially between toes; wear breathable socks; avoid sharing towels; treat shoes with antifungal powder,Mild
Influenza,Zanamivir (Relenza),10 mg (2 inhalations) twice daily for 5 days,Not recommended in patients with COPD/asthma; use bronchodilator before dosing,Moderate
Anorexia Nervosa,Nutritional Rehabilitation (NG Feeding),Gradual caloric increase: start 1200–1500 kcal/day; increase 500 kcal every 3–5 days,"Refeeding syndrome risk — monitor phosphate, potassium, magnesium; ECG monitoring; inpatient for BMI <13; multidisciplinary care",Severe
Oral Candidiasis (Thrush),Fluconazole,150 mg single dose or 50 mg once daily for 7–14 days,For moderate-severe or oesophageal candidiasis; many drug interactions; monitor LFTs; adjust dose in renal impairment,Moderate
Hepatitis A,Supportive Care (Rest and Hydration),Adequate fluid intake; rest until clinical improvement,No specific antiviral treatment; avoid alcohol; avoid hepatotoxic drugs; notify contacts for vaccination,Moderate
Cushing Syndrome,Ketoconazole (Cortisol Synthesis Inhibitor),200–400 mg two to three times daily,Hepatotoxic — monitor LFTs; multiple drug interactions; for Cushing's awaiting surgery; specialist endocrinology team only,Severe
Anaemia,Ferrous Sulfate (Iron Supplement),200 mg (65 mg elemental iron) two to three times daily on empty stomach,Take with vitamin C to improve absorption; causes dark stools; avoid with antacids/tea/coffee; constipation is common,Moderate
Osteoporosis,Denosumab (Prolia),60 mg subcutaneous injection every 6 months,Hypocalcaemia risk — ensure adequate calcium/vitamin D; dental work before starting; do not stop abruptly (rebound fracture risk),Moderate
Bipolar Disorder,Lithium Carbonate,400–1200 mg/day in 2–3 divided doses (target level 0.6–1.0 mmol/L),Narrow therapeutic index; regular serum level monitoring; renal and thyroid function checks; teratogenic; adequate hydration essential,Severe
Dengue Fever,Oral Rehydration Salts (ORS),200–400 mL after each loose stool or as directed,Do not give aspirin; watch for warning signs of severe dengue; rest completely,Moderate
Polycythemia Vera,Aspirin (Low Dose),75–100 mg once daily,Reduces thrombotic risk; avoid if platelet <50×10⁹/L; GI protection with PPI if history of peptic ulcer,Mild
Coronary Artery Disease,Atorvastatin,40–80 mg once daily at night,Monitor LFTs and CK; avoid grapefruit juice; report muscle pain; LDL target <1.8 mmol/L in high risk patients,Moderate
Panic Disorder,Sertraline,25–200 mg once daily,First-line; start low (may initially worsen anxiety); allow 4–6 weeks; combine with CBT; do not stop abruptly,Moderate
Pancreatitis,IV Fluid Resuscitation (Lactated Ringer's),250–500 mL/hr initially; titrate to urine output >0.5 mL/kg/hr,Hospitalisation mandatory; NPO (nil by mouth); pain management; monitor renal function and electrolytes,Severe
Athlete's Foot (Tinea Pedis),Miconazole Cream 2%,Apply twice daily for 4 weeks,External use only; keep foot dry; cotton socks recommended; treat interdigital spaces thoroughly,Mild
Scabies,Ivermectin (Oral),200 mcg/kg single dose; repeat after 2 weeks (severe/crusted scabies),Systemic option; not for children <15 kg or pregnant women; crusted scabies needs combined topical and oral treatment,Mild
Haemophilia A,Factor VIII Concentrate (Recombinant),Minor bleeds: 10–20 IU/kg; Major bleeds: 25–40 IU/kg IV; prophylaxis: 25–40 IU/kg 3×/week,Specialist haematology care; monitor factor levels; risk of inhibitor development; HIV/hepatitis testing historically important; haemophilia treatment centre,Severe
Anaphylaxis,Hydrocortisone IV,200 mg IV (after adrenaline),Prevents biphasic anaphylaxis; adjunct to adrenaline; observe for minimum 6 hours after reaction,Critical
Type 2 Diabetes,Insulin Glargine,0.2 units/kg subcutaneously once daily at bedtime (titrate),Monitor blood glucose 3–4×/day; rotate injection sites; risk of hypoglycaemia,Severe
Sciatica,Epidural Steroid Injection,Methylprednisolone 40–80 mg epidural injection; up to 3 injections per year,Specialist pain clinic; short-term benefit; risk of rare neurological complications; monitor glucose in diabetics; does not fix underlying cause,Moderate
Cystic Fibrosis,Pancreatic Enzyme Replacement (Creon),"10,000–25,000 units of lipase with each meal; titrate to stool consistency",Take at start of meal; do not crush; high-dose may cause fibrosing colonopathy; adequate fluid intake,Moderate
Sinusitis,Amoxicillin-Clavulanate,875/125 mg twice daily for 10–14 days (bacterial sinusitis),Only for bacterial sinusitis; avoid overuse; check penicillin allergy; take with food to reduce GI effects,Moderate
Alcohol Use Disorder,Naltrexone,50 mg once daily orally (or 380 mg IM monthly),Opioid antagonist — do not use if on opioids; hepatotoxicity risk — monitor LFTs; not effective unless motivated to stop,Moderate
Parkinson's Disease,Levodopa/Carbidopa,100/25 mg three times daily; titrate as needed,Take on empty stomach for best absorption; nausea common initially; long-term motor fluctuations; avoid protein meals near dose,Severe
Malaria,IV Artesunate,"2.4 mg/kg IV at 0, 12, 24 h then daily",Severe/cerebral malaria; hospitalisation required; monitor haemoglobin and renal function,Critical
Hepatitis A,Paracetamol (low dose for discomfort),325–500 mg every 4–6 hours; max 2 g/day in hepatic disease,Use minimum effective dose; avoid alcohol completely; monitor liver enzymes,Mild
Urinary Tract Infection,Trimethoprim-Sulfamethoxazole,160/800 mg twice daily for 3–7 days,Check local resistance patterns; avoid in G6PD deficiency; monitor renal function; adequate hydration,Mild
Attention Deficit Hyperactivity Disorder,Atomoxetine (Non-stimulant),0.5 mg/kg/day for 4 weeks then 1.2 mg/kg/day (max 100 mg),Non-stimulant — no abuse potential; allow 4–8 weeks for effect; suicidal ideation risk — monitor; liver toxicity — monitor LFTs; not PRN,Moderate
Crohn's Disease,Mesalazine (5-ASA),2–4 g/day in 2–4 divided doses (mild colonic disease),Annual renal function check; monitor blood counts; main role in colonic Crohn's; less effective in small bowel disease,Moderate
Gonorrhoea,Ceftriaxone IM,500 mg IM as single dose (uncomplicated gonorrhoea),Dual therapy no longer routine in many guidelines; test for cure in pharyngeal gonorrhoea; trace and treat contacts,Moderate
HIV Infection,Tenofovir/Emtricitabine/Dolutegravir (TLD),1 tablet once daily,First-line ART; monitor renal function; excellent tolerability; taken lifelong; maintain adherence >95%,Severe
Rotator Cuff Injury,Subacromial Corticosteroid Injection,Triamcinolone 40 mg + local anaesthetic into subacromial space,Max 3 injections per year; physiotherapy essential alongside; brief initial pain increase possible; does not repair torn tendon,Mild
Stroke,Alteplase (tPA),0.9 mg/kg IV (max 90 mg); 10% bolus then remainder over 60 min (ischaemic stroke),Must be given within 4.5 h of symptom onset; contraindicated in haemorrhagic stroke; strict BP monitoring,Critical
Crohn's Disease,Azathioprine (Immunosuppressant),2–2.5 mg/kg/day (maintenance of remission),Check TPMT enzyme before starting; monitor CBC monthly; avoid sun exposure; risk of lymphoma with long use,Moderate
Septic Shock,Norepinephrine (Noradrenaline),0.1–2 mcg/kg/min IV infusion (vasopressor of choice),ICU requirement; central venous catheter; titrate to MAP >65 mmHg; monitor for tissue ischaemia; arterial line for BP monitoring,Critical
Chronic Obstructive Pulmonary Disease,Salmeterol/Fluticasone (LABA/ICS),50/500 mcg 1 puff twice daily (Seretide),Rinse mouth after use to prevent oral thrush; not for rescue use; increases pneumonia risk in COPD; bone density monitoring with prolonged use,Moderate
Cirrhosis,Propranolol (Varices Prophylaxis),20–40 mg twice daily; titrate as above,Reduces portal pressure; contraindicated in spontaneous bacterial peritonitis treatment phase; monitor for hepatic encephalopathy worsening,Severe
Acromegaly,Octreotide LAR (Somatostatin Analogue),20–30 mg IM every 4 weeks,Pituitary surgery first-line; SSA if surgery incomplete/refused; gallstone formation risk; monitor GH and IGF-1 levels; GI side effects initially,Severe
Hyperthyroidism,Propranolol,40 mg two to four times daily for symptomatic control,Relieves palpitations and tremor while awaiting antithyroid effect; contraindicated in asthma; do not stop abruptly,Mild
Typhoid Fever,Azithromycin,500 mg once daily for 7 days (uncomplicated; resistance concerns),Confirm Salmonella typhi sensitivity; monitor for complications; adequate rest and hydration; do not return to food handling until negative stool cultures,Moderate
Hepatitis C,Glecaprevir/Pibrentasvir (Maviret),"300/120 mg (3 tablets) once daily with food for 8 weeks (treatment-naive, no cirrhosis)",Take with food; avoid amiodarone; monitor for hepatic decompensation; check drug interactions,Severe
Fatty Liver Disease (NAFLD),Pioglitazone (Diabetic NASH),30 mg once daily,For NASH with type 2 diabetes; risk of fluid retention and heart failure; bladder cancer concern — monitor; fracture risk in women; weight gain common,Moderate
Ulcerative Colitis,Prednisolone (for flares),40 mg once daily for 4 weeks then taper by 5 mg/week,Short-term use for flares; not for long-term maintenance; bone protection; monitor glucose and BP,Moderate
Scoliosis,Ibuprofen (Pain Management),400–600 mg three times daily with food,For pain relief only; does not correct curve; bracing for 25–45 degree curves; surgery for >45 degrees; physiotherapy essential,Mild
Common Cold,Cetirizine,10 mg once daily,May cause drowsiness; avoid alcohol; reduce dose in renal impairment,Mild
Endometriosis,Leuprorelin (GnRH Agonist),3.75 mg IM monthly injection for 3–6 months,Menopausal side effects; bone loss with prolonged use — add back therapy; expensive; pain returns after stopping,Moderate
Vertigo (Benign Paroxysmal Positional),Epley Manoeuvre (Canalith Repositioning),Series of 4 head positions held 30 seconds each; 1–2 times daily until symptoms resolve,Performed by trained clinician; avoid bending or lying flat for 48 h after; 80% effective; highly effective for posterior canal BPPV,Mild
Ringworm (Tinea Corporis),Clotrimazole Cream 1%,Apply thinly to affected area 2–3 times daily for 2–4 weeks,Continue 1–2 weeks after clearance to prevent recurrence; avoid sharing clothing/towels; wash affected areas daily,Mild
Osteoporosis,Calcium Carbonate + Vitamin D3,Calcium 1000–1200 mg/day + Vitamin D 800–2000 IU/day (divided doses),Take calcium with food for better absorption; monitor serum calcium and urine calcium; kidney stone risk with high doses,Mild
Dengue Fever,Paracetamol (Acetaminophen),500–1000 mg every 4–6 hours; max 4 g/day,Avoid aspirin and NSAIDs; stay well-hydrated; monitor platelet count daily,Moderate
Meningitis,Dexamethasone IV,0.15 mg/kg IV every 6 hours for 4 days (start before or with first antibiotic dose),Reduces inflammation and hearing loss risk; most benefit in pneumococcal meningitis; monitor blood glucose,Critical
Migraine,Naproxen Sodium,500 mg at onset; may repeat 500 mg after 1 h; max 1000 mg/day,Avoid in renal impairment; take with food; avoid in GI bleeding history,Moderate
Haemophilia A,Desmopressin (DDAVP),0.3 mcg/kg IV or SC; or 300 mcg intranasal (mild haemophilia A only),Suitable for mild cases only; test response before using; risk of hyponatraemia; limit fluid intake after dose; max 3 doses in 48 hours,Moderate
Deep Vein Thrombosis,Rivaroxaban (DOAC),"15 mg twice daily with food for 21 days, then 20 mg once daily with food for at least 3 months",Avoid in severe renal failure; no routine monitoring; withhold before procedures; do not stop abruptly; no antidote available,Moderate
Heart Failure,Furosemide (Loop Diuretic),20–80 mg once or twice daily (titrate to symptoms),"Monitor electrolytes (K+, Na+, Mg2+); daily weight monitoring; risk of dehydration; supplement potassium if needed",Severe
Peptic Ulcer,Triple Therapy (H. pylori),Omeprazole 20 mg + Clarithromycin 500 mg + Amoxicillin 1 g — all twice daily for 7–14 days,Complete full course; side effects include diarrhoea and metallic taste; confirm H. pylori eradication after treatment,Moderate
Celiac Disease,Strict Gluten-Free Diet (Primary Treatment),"Complete elimination of wheat, barley, rye — lifelong",No medication replaces GFD; dietician referral; check labels for hidden gluten; oats cross-contamination risk; annual nutritional monitoring,Moderate
Sickle Cell Disease,Hydroxyurea,15–35 mg/kg/day (titrate to maximum tolerated dose),Increases fetal haemoglobin; monitor CBC every 4–8 weeks; teratogenic; contraception required; reduce dose if neutrophil count drops,Severe
Osteoarthritis,Ibuprofen,400–800 mg three times daily with food,"Avoid in peptic ulcer disease, cardiovascular disease, renal disease; add PPI (omeprazole) to protect stomach",Moderate
Heart Failure,Spironolactone,25–50 mg once daily,Monitor potassium (hyperkalaemia risk); avoid with ACE inhibitor + ARB combination; monitor renal function,Moderate
Systemic Lupus Erythematosus,Prednisolone,0.5–1 mg/kg/day for flares; taper over weeks,"Bone protection with calcium and vitamin D; monitor blood glucose, BP, bone density; avoid long-term high doses",Severe
Common Cold,Pseudoephedrine,60 mg every 4–6 hours; max 240 mg/day,"Avoid in hypertension, heart disease; may cause insomnia; limit caffeine",Mild
Colon Cancer,Bevacizumab (VEGF Inhibitor),5 mg/kg IV every 2 weeks (with FOLFOX),GI perforation risk; wound healing impaired (withhold 4 weeks before/after surgery); hypertension; proteinuria — monitor urine; arterial thromboembolism risk,Critical
Meningitis,Ceftriaxone IV,2 g IV every 12 hours (adults); 100 mg/kg/day in children (bacterial meningitis),Medical emergency — hospitalisation essential; start immediately after blood cultures; do not delay for LP if brain herniation risk,Critical
Epilepsy,Levetiracetam,500–1500 mg twice daily,Monitor for mood changes and irritability; safe in renal disease (dose adjust); fewer drug interactions,Moderate
Cirrhosis,Lactulose (Hepatic Encephalopathy),15–30 mL twice to four times daily; titrate to 2–3 soft bowel movements per day,Reduces ammonia absorption; diarrhoea is dose-limiting; electrolyte monitoring; rifaximin 550 mg BD added for recurrent encephalopathy,Severe
Epilepsy,Carbamazepine,200–1200 mg/day in 2–4 divided doses,Monitor blood count (aplastic anaemia risk); many drug interactions; hyponatraemia risk; test for HLA-B*1502 in Asian patients,Moderate
Multiple Sclerosis,Interferon Beta-1a (Avonex),30 mcg IM once weekly,Disease-modifying therapy; flu-like reactions (premedicate with ibuprofen); monitor LFTs and CBC every 6 months; depression monitoring,Severe
Lung Cancer,Osimertinib (EGFR inhibitor),80 mg once daily (EGFR-mutated NSCLC),Require EGFR mutation testing; monitor for interstitial lung disease; QT prolongation risk; check drug interactions,Critical
Cholecystitis,Ceftriaxone + Metronidazole IV,Ceftriaxone 2 g IV once daily + Metronidazole 500 mg IV every 8 hours,Cholecystectomy (surgical removal) is definitive; antibiotics for acute infection; NPO (nil by mouth); IV fluids; ERCP if choledocholithiasis present; pain control with ketorolac,Severe
Diverticulitis,Amoxicillin-Clavulanate,875/125 mg twice daily for 7–10 days (uncomplicated outpatient),"For mild uncomplicated cases — clear fluid diet and rest; hospitalise if fever >38.5°C, severe pain, or immunocompromised; follow up colonoscopy after 6–8 weeks",Moderate
Addison's Disease,Fludrocortisone (Mineralocorticoid),0.05–0.2 mg once daily,Monitor blood pressure and potassium; increase salt intake; dose adjust in hot weather (sweat losses); lifelong treatment,Severe
Acute Respiratory Distress Syndrome,Low Tidal Volume Ventilation (Lung Protective),6 mL/kg ideal body weight; PEEP titrated to oxygenation; FiO2 minimised to maintain SpO2 88–95%,Mechanical ventilation in ICU; prone positioning for severe ARDS; neuromuscular blockade for early severe ARDS; conservative fluid strategy; specialist intensivist,Critical
Osteoporosis,Alendronate (Bisphosphonate),70 mg once weekly on empty stomach with full glass of water,Remain upright for 30 min after dose; do not crush; risk of oesophageal irritation; dental check before starting; atypical femur fracture risk,Moderate
